student_id,name,class,comprehension,attention,focus,retention,engagement_time,assessment_score
93,Jennifer Wong,8,4.16,76.23,97.49,39.04,179.07,53.64
94,Brandon Navarro,10,14.83,3.89,41.11,41.58,126.48,25.95
95,Erik Ballard,9,98.66,83.71,44.47,46.92,285.23,75.21
96,Jennifer Henderson,12,96.51,61.95,57.65,36.77,235.38,69.55
97,Steven Howard,12,0.49,56.34,98.33,10.06,92.77,38.2
98,Ronald Fuller,12,95.18,62.46,24.16,30.96,254.82,51.44
99,Austin Zavala,9,63.91,86.44,68.13,66.37,135.39,66.37
100,Kathryn Johnson,1,86.79,58.69,71.6,66.58,250.31,66.33
101,Jimmy Phillips,9,45.47,58.1,60.73,28.62,248.64,57.81
102,Bryan Ewing,7,51.56,99.07,8.86,46.01,64.77,48.11
103,Andrea Ross,9,48.88,75.67,67.69,19.34,213.33,53.35
104,Daniel Smith,8,66.69,44.23,6.41,21.04,94.29,41.97
105,Christine Smith,1,13.97,70.74,59.61,2.3,96.27,36.04
106,Robert Osborne,12,3.0,38.92,73.96,89.67,95.94,38.97
107,Shannon Cardenas,8,30.79,22.89,21.1,21.07,220.41,29.24
108,Lori Reid,8,70.47,59.69,84.16,22.75,76.65,55.34
109,Janet Gutierrez,11,20.19,92.82,3.04,27.96,10.26,22.44
110,John Herman,3,67.34,92.91,84.38,12.74,217.42,62.01
111,Tammy Wright,1,96.99,34.19,46.03,63.93,59.64,59.0
112,Jenny Ellis,8,9.39,52.77,21.76,7.51,40.3,19.99
113,Brian Lloyd,3,67.26,21.16,13.38,13.42,78.88,24.99
114,Cristina Gutierrez,3,44.38,99.56,95.33,64.48,120.17,74.95
115,Alex Obrien,1,86.81,98.11,7.27,33.97,148.01,58.34
116,Kimberly Dennis,11,17.71,64.95,19.91,70.79,22.93,37.4
117,Stephen Jacobs,5,69.26,80.44,34.78,55.74,291.47,66.69
118,Mark King,10,83.81,71.51,62.02,25.6,217.66,60.29
119,Bianca Rodriguez,7,94.46,59.32,54.48,65.08,103.73,69.85
120,Terri Turner,10,68.32,5.33,12.56,11.63,102.42,27.98
121,Julia Thomas,9,49.72,45.48,28.97,53.64,140.08,40.72
122,Brian Dean,12,61.78,67.48,23.88,43.71,191.61,54.8
123,Lisa Walsh,7,86.89,67.75,21.35,26.79,52.45,58.45
124,Ashley Robinson,9,57.06,37.31,41.11,60.4,64.79,50.67
125,Lee Winters,8,3.04,94.17,70.4,87.13,259.24,64.51
126,Michael Jenkins,12,93.09,16.74,21.75,99.89,84.31,55.81
127,Janet Williams,2,68.95,50.04,36.67,60.78,120.26,46.2
128,Jason Ferguson,1,67.65,69.09,39.09,40.47,262.67,66.23
129,Jessica Christensen,7,21.57,69.71,97.65,22.52,202.31,61.46
130,Don Robinson,7,65.89,64.86,95.47,25.71,109.1,68.33
131,Daniel Graham,8,39.39,27.53,80.01,47.95,208.27,48.18
132,Christina Hawkins,5,65.12,15.62,24.17,36.73,15.71,29.59
133,Samantha Hamilton,3,10.66,63.59,6.8,91.38,223.34,37.67
134,Jennifer Mcfarland,12,65.78,59.93,31.69,36.83,151.23,42.05
135,Kimberly Wilson,8,99.94,17.94,26.68,37.34,245.82,54.03
136,Kristy Harris,6,4.82,70.51,50.59,38.35,286.84,50.93
137,Adam Jackson,11,97.72,45.52,77.77,83.66,278.48,79.28
138,Brittany Johnson,3,40.69,66.78,85.83,65.08,273.69,66.38
139,Leah Delgado,1,87.08,83.74,84.49,61.42,158.53,84.21
140,Eric Hernandez,3,78.24,16.97,35.97,33.41,114.44,42.54
141,Karen Haley,5,56.7,1.91,68.72,81.79,144.86,62.5
142,Chelsea Kaufman,3,73.84,77.91,31.28,3.84,210.07,61.72
143,Joseph West,1,87.85,60.97,6.09,87.08,266.36,65.41
144,Kyle Elliott,5,40.41,69.96,70.16,51.27,70.03,49.85
145,Nicholas Gibson,10,32.7,83.82,0.98,39.83,276.28,47.43
146,Gregory Barber,7,66.76,80.28,40.92,49.72,246.4,60.69
147,Deborah Wilson,7,80.78,96.09,32.94,66.74,293.87,67.4
148,Jennifer Cook,11,76.23,53.59,69.34,1.28,265.27,62.96
149,Jacqueline Schneider,9,79.78,48.85,76.62,87.16,91.18,75.58
150,Danielle Thompson,10,43.56,40.19,30.41,44.67,40.73,38.26
151,Christopher Freeman,10,81.78,15.37,81.16,34.3,42.55,45.8
152,Connie Carter,12,12.02,57.26,29.39,13.82,94.45,20.7
153,Andrea Hardy,3,54.45,27.7,44.63,43.95,188.11,46.4
154,Richard Townsend,7,0.58,92.13,72.7,49.63,243.25,48.67
155,Trevor Guerrero,1,32.46,58.32,69.29,40.36,270.78,50.65
156,Jonathan Thomas,4,36.65,59.28,98.74,67.87,190.89,67.64
157,Sandra Lopez,4,39.62,35.49,22.52,42.09,11.63,35.96
158,Alicia Stewart,5,69.55,5.2,66.23,96.14,64.03,63.4
159,Thomas Le,7,38.86,3.17,60.97,59.93,38.92,32.82
160,Peggy Weeks,7,44.87,42.33,91.51,80.75,115.36,58.51
161,Ariana Lopez,11,23.75,8.46,15.64,10.94,155.39,23.11
162,Madison Baldwin,4,37.33,60.68,75.18,39.73,22.59,49.31
163,Tammy Nguyen,7,22.73,88.1,56.83,33.68,111.06,53.9
164,Daniel Higgins,11,7.32,88.29,27.47,56.95,61.96,40.91
165,Nicole Vasquez,3,60.34,65.9,47.44,86.11,197.65,73.82
166,Bruce Osborne,6,66.82,21.12,33.38,7.83,144.64,40.03
167,Helen Wheeler,12,61.95,86.3,57.93,7.26,153.64,59.31
168,Christina Paul,2,46.35,88.61,88.9,85.03,134.03,69.26
169,Jason Jimenez,10,37.98,19.67,56.93,21.29,287.25,40.62
170,Mrs. Kathryn Williams DDS,9,86.33,73.74,63.17,66.88,72.27,73.62
171,Jonathan Thompson,5,51.91,28.65,51.87,54.29,159.83,55.93
172,Tommy Rivera,6,47.92,80.26,5.12,83.29,223.45,59.2
173,Carrie Hayes,12,2.56,99.72,23.29,12.51,171.48,33.17
174,Jeffrey Ford,12,34.12,3.0,49.2,12.98,279.42,39.47
175,Jessica Hughes,12,38.02,89.74,31.02,55.68,119.61,39.72
176,Susan Pena,12,39.88,62.26,18.18,94.64,144.47,44.68
177,Michael Mendoza,4,58.02,97.34,50.41,41.5,35.67,59.85
178,Brittney Oneal,11,53.36,46.5,32.28,32.69,186.61,44.59
179,Angelica Parks,10,60.79,84.74,25.81,60.67,93.58,58.63
180,Christina Black,7,76.49,6.24,46.4,93.04,56.49,54.29
181,Thomas Chavez,12,81.3,33.53,13.33,83.69,167.91,58.95
182,Lisa Howard,9,71.81,6.7,92.77,99.55,164.37,62.76
183,Lisa Hayes,7,95.55,97.53,86.77,2.26,32.0,69.9
184,Joseph Singleton,1,1.82,81.7,70.76,11.29,212.48,45.35
185,James Wright,1,19.58,85.25,10.62,60.95,190.89,49.7
186,Lisa Hancock,9,0.76,93.8,77.59,82.06,64.82,63.14
187,Heather Bradley,11,64.75,8.51,80.8,28.52,146.14,49.08
188,Dustin Trevino,9,89.8,38.56,76.78,23.92,218.89,63.46
189,Barbara Hicks,4,24.35,7.1,11.4,78.7,163.54,24.58
190,Anthony Johnson,9,92.7,21.08,64.39,5.64,124.69,47.53
191,Allen White,3,6.03,22.94,83.43,36.94,103.48,32.95
192,John Proctor,7,93.44,46.91,57.74,50.58,187.01,70.56
193,Michael Smith,6,35.16,26.86,64.64,56.03,282.34,46.41
194,Molly Davis,8,10.14,10.1,45.84,72.86,204.81,39.61
195,Kellie Moore,11,48.59,16.75,52.87,35.48,31.68,36.64
196,Kayla Brown,9,25.68,14.73,3.44,61.27,143.6,27.49
197,Jennifer Cooper,5,28.49,97.31,63.9,58.54,268.34,62.68
198,Trevor Rosales,1,30.73,75.93,8.14,54.76,37.39,36.28
199,Austin Reyes,3,80.3,96.78,43.5,64.05,296.77,72.7
200,Barbara Khan,10,53.92,43.97,29.27,25.94,285.23,37.0
201,Michael Robinson,12,31.13,27.84,54.54,8.46,32.7,27.36
202,Mrs. Melanie Davis,8,61.03,79.83,13.34,11.93,280.69,46.29
203,Matthew Jones,11,71.62,32.63,69.16,22.46,115.31,47.6
204,Melissa Reynolds,6,27.26,29.94,79.5,50.02,254.97,50.65
205,Kirk Hill,8,41.35,23.25,16.34,84.04,131.33,44.8
206,Victor Miller,9,12.19,12.97,10.43,70.13,137.85,28.12
207,Kimberly Aguirre MD,4,18.11,25.65,14.55,78.9,193.93,40.7
208,Matthew Martin,1,68.11,35.53,87.71,35.1,234.6,62.8
209,Christine Freeman,1,18.14,67.4,52.82,40.47,19.8,36.76
210,Crystal Tanner,10,52.52,6.26,46.73,39.37,182.02,37.98
211,Colleen Jarvis,4,70.9,21.05,10.67,19.19,64.15,35.16
212,Teresa Hernandez,12,10.69,80.9,64.96,6.12,110.33,40.15
213,John Richardson,7,56.73,14.69,86.8,59.09,110.91,59.82
214,Kelly Webb,2,25.66,34.26,82.82,98.92,146.03,61.72
215,Shelby Blevins,3,96.29,86.47,62.61,16.68,106.9,62.89
216,Allison Lopez,1,48.35,15.49,7.53,4.67,41.13,20.91
217,Robert Chapman,5,80.6,8.27,11.24,77.95,52.23,48.77
218,Stephen Strickland,1,55.02,48.45,4.93,25.26,19.7,38.23
219,Maria Bautista,8,4.34,30.24,25.75,82.96,146.37,38.67
220,Joyce Wagner,1,63.32,56.34,13.57,70.39,286.79,56.29
221,Kevin Arnold,11,95.14,80.38,26.0,94.57,43.55,63.91
222,Keith Russell,1,60.16,13.71,38.51,40.89,284.42,41.16
223,Amanda Stephens,2,81.92,58.07,94.3,66.2,222.67,77.07
224,Alison Cortez,2,88.42,50.55,61.04,46.49,194.87,66.35
225,John Conway,12,22.81,14.41,83.5,63.06,197.13,40.11
226,Joshua Thomas,6,21.2,62.4,71.04,44.96,249.75,50.59
227,Rebecca Sanchez,7,61.1,27.36,11.25,18.86,41.01,34.35
228,Eric Olsen,5,41.1,48.78,73.59,50.79,156.38,46.42
229,Kristi Bowen,1,83.99,8.23,27.51,52.86,212.16,55.51
230,Alicia Davis,1,90.0,45.96,63.91,81.06,180.18,69.3
231,Lindsay Brown,3,35.34,30.65,34.1,73.55,251.51,52.93
232,Jeremy Alvarez,2,23.69,82.24,99.77,66.38,30.96,55.15
233,Paul Moody,5,78.05,5.7,26.36,11.34,210.3,33.97
234,Steven Briggs,12,27.48,41.86,27.91,72.06,164.87,39.82
235,Karen Ali,10,82.26,45.84,93.07,50.03,119.96,65.99
236,Joshua Brown,6,42.37,72.5,2.46,89.41,108.68,47.27
237,Michael Smith,7,66.75,57.43,69.67,91.99,190.04,69.1
238,Jennifer Oneal,4,9.55,66.72,72.53,5.52,268.39,42.44
239,Vincent Jones,7,62.39,77.7,83.64,82.06,153.89,71.67
240,Dawn Ramos,11,45.18,86.22,97.44,3.77,249.17,59.01
241,Stephanie Harper,8,58.66,31.39,97.56,36.72,126.63,46.41
242,Michael Heath,11,16.8,53.8,6.53,54.23,39.69,31.23
243,Dr. Francisco Graham,1,73.69,84.01,82.18,14.81,27.84,58.79
244,Jennifer Adkins DVM,6,86.28,98.95,64.63,74.63,24.89,82.41
245,Michael Holden,8,21.67,88.95,64.73,0.84,120.24,36.72
246,Erica Garcia,5,9.57,37.15,12.83,16.86,107.8,10.79
247,David Ingram,4,2.36,19.52,65.02,58.08,218.2,39.6
248,Andrea Thomas,2,64.2,48.94,98.25,71.44,225.42,72.23
249,Gary Allen,6,60.71,74.16,91.18,91.66,24.75,65.4
250,Dennis Glover,6,54.67,49.26,43.91,70.55,74.13,43.97
251,Veronica Jackson,11,23.19,48.32,3.99,67.18,89.54,41.53
252,Cassandra Daniel,1,39.09,83.82,36.23,39.43,168.81,56.32
253,Cynthia Daniels,9,59.45,36.14,82.64,0.13,51.91,30.91
254,Christine Wang,12,49.68,85.98,70.15,12.02,48.84,47.87
255,Kevin Turner,11,98.78,40.68,45.93,53.46,283.7,75.43
256,Christopher Flores,6,13.64,32.82,5.51,67.51,243.22,30.99
257,Carla Stevenson,3,69.51,45.4,42.69,41.74,62.39,46.45
258,Jason Rodriguez,4,40.43,76.24,46.9,73.07,127.9,54.22
259,Brianna Drake,12,42.82,12.6,92.86,52.19,113.13,42.54
260,Taylor Weeks,11,71.76,19.64,64.11,7.42,239.39,39.22
261,Kevin Wallace,4,69.24,95.14,31.17,19.2,157.96,60.4
262,Jason Bennett,3,99.13,17.55,52.53,84.0,47.08,52.91
263,Gina Mccann,10,12.84,56.77,6.61,72.49,224.31,39.74
264,Amanda Mills,3,10.41,57.93,97.26,89.48,125.1,60.66
265,Christina Parker,3,72.43,48.96,36.01,11.76,86.25,36.69
266,David Solis,4,57.84,64.47,47.79,99.02,118.89,58.95
267,Lee Williams,7,27.42,22.98,35.53,20.94,154.35,35.33
268,Margaret Smith,4,7.94,55.27,68.25,1.18,109.5,33.64
269,Nicholas Sanders,9,8.57,37.22,66.22,99.74,80.15,42.79
270,Jessica Bean,1,89.42,66.17,71.53,28.11,125.57,70.18
271,David Escobar,8,19.19,14.12,26.81,66.8,15.56,33.86
272,Pamela Ritter,7,32.34,57.09,31.57,17.67,234.02,40.11
273,Mary Buchanan,2,22.67,18.53,12.53,58.02,59.57,22.1
274,Larry Evans,8,35.5,27.86,65.55,90.4,22.73,46.1
275,Peter Jackson,1,6.94,21.87,3.98,32.02,199.57,21.74
276,Sarah Ward,11,51.91,18.28,59.77,67.03,234.44,51.46
277,Jodi Crosby,12,6.76,82.57,86.97,18.79,246.01,52.59
278,Danny Le,9,80.04,28.57,89.08,62.48,153.12,57.49
279,Michelle Miller,9,23.37,92.71,44.9,33.65,69.56,36.11
280,Cynthia Aguilar,2,54.0,96.99,45.93,21.12,223.8,57.37
281,Angela Henderson,7,88.01,57.13,7.7,31.32,212.92,50.27
282,Patrick Simpson,10,65.09,14.3,67.08,17.88,81.42,38.96
283,Tami Jenkins,3,53.3,37.45,82.13,90.19,271.99,58.17
284,Vanessa Moore,7,32.43,79.77,24.47,39.72,40.27,39.96
285,Rachel Lopez,12,33.3,36.74,42.13,24.53,294.98,40.24
286,Jacob Campbell,10,66.95,8.7,83.88,44.84,259.47,59.49
287,Kimberly Matthews,9,99.41,55.68,87.71,32.05,209.49,72.24
288,Jessica Riley,4,66.18,84.51,24.32,74.44,282.24,65.25
289,Rebecca Gould,12,55.78,79.59,55.06,97.12,219.47,76.29
290,Sharon Miller,1,73.07,17.51,19.25,43.8,65.23,33.64
291,Aimee Lynch,2,46.52,67.28,10.19,86.1,138.23,53.96
292,Paige Williams,1,6.01,22.05,91.11,56.59,30.74,28.42
293,Mrs. Shelly Hogan,12,56.23,21.82,82.05,15.72,123.0,40.7
294,Nicole Walker,5,95.76,87.41,76.0,69.06,225.06,76.66
295,Samuel Garcia,5,17.53,24.97,4.88,51.34,122.07,29.48
296,Jimmy Hayes,11,69.0,26.32,84.37,65.06,105.79,59.05
297,Erin Davis,7,20.09,0.07,43.8,88.97,182.65,38.62
298,Allen Sanford,9,53.58,87.07,34.24,44.04,262.94,52.38
299,Justin Ward,9,9.67,79.26,54.65,90.12,23.8,47.0
300,Jeffrey Blake,3,45.04,62.73,9.14,75.07,121.79,43.14
301,James Anderson,3,75.62,75.03,75.66,48.86,55.89,66.38
302,Amy Smith,3,34.76,15.2,58.24,60.32,211.65,39.28
303,Laura Mills,4,66.49,45.83,18.66,32.56,40.66,47.36
304,Jason Cooper,8,79.54,35.12,18.82,98.36,202.79,52.71
305,Mary Rojas DDS,6,92.72,9.38,18.42,66.74,92.99,45.79
306,James Stafford,8,23.46,48.61,5.7,4.38,67.69,29.42
307,Victoria Robinson,1,39.93,92.07,58.78,32.66,281.54,55.89
308,Rachel Salas,8,15.24,4.01,84.03,62.33,15.37,28.58
309,Erica Brown,4,99.25,29.15,1.75,5.63,136.96,42.74
310,Jennifer Moran,11,92.7,20.75,4.9,2.39,16.27,31.58
311,Lisa Anderson,1,54.0,23.81,57.28,45.0,150.24,42.25
312,Garrett Fischer,8,84.2,90.84,81.95,33.27,155.3,66.17
313,Melanie Pierce,4,52.1,46.81,32.67,43.83,103.28,57.58
314,Jessica Thomas,6,62.36,46.63,34.96,26.27,48.33,40.63
315,Rebecca Ross,8,8.91,76.06,59.63,16.47,119.15,27.45
316,John Johnson,4,75.53,15.45,27.42,68.91,204.96,59.32
317,Kathleen Lopez,3,12.77,48.73,2.66,51.46,236.89,35.35
318,Jennifer King,9,82.61,43.0,73.52,20.02,163.92,53.72
319,Louis Mercer IV,3,78.2,59.69,62.56,31.96,181.05,55.67
320,Jean Stewart,9,70.87,99.96,58.08,59.18,68.18,70.34
321,Lindsey Baker,2,3.62,76.94,74.17,7.22,93.33,34.63
322,Madison Clark,2,30.31,39.79,67.52,14.75,56.95,25.77
323,Tracie Bullock,2,26.31,82.76,20.59,7.32,82.3,41.71
324,Erica Lane,6,36.01,17.07,35.25,81.23,75.22,37.85
325,James Bryant,3,8.76,3.05,12.61,75.24,160.64,33.64
326,Ashley Francis,9,93.7,20.44,12.99,75.33,173.18,62.03
327,Jeremy Mathews,4,55.38,34.04,67.62,71.63,284.03,55.74
328,Kevin Ruiz,1,30.55,51.06,85.86,66.94,66.72,57.33
329,Tanya Elliott,4,39.7,61.51,96.27,47.7,196.09,56.29
330,Joshua Webb,1,44.72,91.06,62.83,64.23,247.01,55.94
331,Emily Kelly,5,60.06,50.99,18.41,3.84,172.47,36.29
332,Mary Morales,4,51.57,50.13,10.57,62.15,83.95,44.82
333,Tom Hall,8,91.94,5.02,81.29,77.79,86.14,60.96
334,Jake Williams,8,49.7,3.49,57.88,50.04,21.38,36.37
335,Dr. Joshua Hogan,7,99.22,55.12,61.83,35.75,98.58,69.31
336,Stephen Archer,3,85.14,43.82,78.15,27.74,225.94,63.55
337,Kevin Robinson,1,20.85,83.92,70.33,64.28,23.78,46.54
338,Richard Wilson,1,93.06,16.07,83.45,69.28,73.6,67.64
339,April Hall,12,11.64,2.5,5.62,87.1,214.81,30.68
340,Cheyenne Mcneil,11,81.74,44.9,74.75,34.23,236.97,50.59
341,Heather Hale,3,38.06,23.75,85.09,76.98,142.04,55.46
342,Margaret Thomas,6,87.8,4.96,28.61,56.14,212.44,53.32
343,Keith Burke,7,86.81,72.46,64.04,88.28,122.51,75.18
344,Jacqueline Perry DDS,6,80.59,11.16,31.42,52.78,56.37,49.59
345,Karen Wise,6,79.0,60.83,95.8,51.76,125.46,66.2
346,Nancy Gross,6,30.47,28.1,3.34,57.79,178.19,34.61
347,Jonathan Gallegos,3,8.09,17.35,57.98,74.93,284.94,34.14
348,Jose Perry,6,40.3,37.98,16.65,96.47,29.94,45.34
349,Craig Cameron,8,17.35,80.14,71.22,7.36,157.14,51.95
350,Christopher Adams,11,69.5,39.21,17.59,5.34,105.39,31.82
351,Thomas Torres,11,34.61,75.08,23.54,93.76,157.41,50.31
352,Shelly Gaines,2,97.56,12.55,49.44,52.99,16.95,49.28
353,James Dudley,5,64.1,77.28,91.48,61.49,100.78,69.29
354,Sean Brady,1,82.25,23.69,21.17,48.24,247.76,46.24
355,Tyler Perez,12,13.25,67.74,14.42,9.37,170.64,30.08
356,Matthew Walters,1,86.2,56.58,75.9,76.81,140.67,76.64
357,Melissa Smith,5,92.28,92.91,50.06,74.72,92.8,76.99
358,Kimberly Jones,12,48.71,38.73,91.18,31.17,96.43,41.2
359,David Castro,3,60.63,6.62,14.66,30.62,121.1,37.58
360,Thomas Smith,4,76.48,1.92,64.59,83.78,252.32,66.1
361,Melissa Fitzgerald,3,17.48,82.69,23.29,7.24,290.49,41.72
362,Roy Sellers,1,50.26,52.47,15.68,88.11,137.21,52.77
363,Ariel Ray,1,39.87,77.52,68.34,25.67,124.07,51.5
364,Danielle Jackson,12,14.64,23.44,59.37,59.3,255.5,46.49
365,Dylan Smith,12,36.75,34.51,75.48,93.6,133.8,65.82
366,Hannah Holland,5,6.82,3.01,30.95,67.81,170.09,23.3
367,Nathan Joyce,6,2.58,96.15,44.8,41.44,76.97,45.21
368,Richard Freeman,3,13.52,66.79,40.55,68.95,225.62,46.4
369,Sandra Smith,12,96.31,93.32,98.41,34.4,164.28,78.95
370,Isaiah Price,9,54.95,26.55,29.22,27.73,244.62,33.66
371,Stacey Weaver,5,96.58,61.15,29.48,99.67,236.41,73.49
372,Jennifer Miller,8,43.25,67.85,35.45,75.08,72.35,46.08
373,Denise Miller,1,31.18,31.75,56.46,64.47,217.53,44.82
374,Kathryn Lowe,5,50.61,84.81,25.23,35.53,242.02,46.87
375,Rebecca Smith,3,43.95,94.72,91.53,4.92,110.37,52.85
376,Cody Ayers,12,10.57,88.49,26.57,3.11,60.06,26.77
377,Aaron Schultz,1,64.08,73.91,89.58,55.42,10.76,63.85
378,Steven Keller,4,21.6,27.75,10.35,76.2,140.76,25.96
379,Rita Dominguez,5,61.96,28.16,65.66,53.74,112.21,44.61
380,Mr. Robert Johnson,7,65.02,96.34,90.7,84.08,170.92,81.24
381,Christopher Chapman,1,15.2,1.03,16.87,3.34,64.53,6.97
382,Charles Hanson,3,6.13,71.6,96.83,36.68,259.3,56.88
